Article No.,URL,Summary
0,https://www.bloomberg.co.jp/news/articles/2022-08-08/RGB4D4T1UM0W01?srnd=cojp-v2,８日の米株式市場ではＳ＆Ｐ500種株価指数が小幅ながら３営業日続落。半導体大手エヌビディアが悲観的な業績見通しを示したことが、テクノロジー株の重しになった。市場は米国の利上げペースに関する手掛かりを求めて、今週発表されるインフレ指標を待っている。ドル・円相場は135円ちょうど付近で、前週末比ほぼ変わらず。朝方は下落したが、取引終盤にかけて下げを埋めた。Ｓ＆Ｐ500種は３日続落、エヌビディア中心に半導体に売り米国債は上昇、10年債利回り2.74％に低下ドル・円は下げを埋め135円付近－今週の米インフレ指標待ちＮＹ原油は続伸、イラン産供給巡る不透明感で－商い薄く値動き荒いＮＹ金は反発、米国債利回り
1,https://www.bloomberg.co.jp/news/articles/2022-08-08/RGBC8QT0AFB401?srnd=cojp-v2,ニューヨーク市の地下鉄を観察すると、マスクを着用している人としていない人が一車両におおよそ半数ずつ。ニューヨーク州都市交通局（ＭＴＡ）は今でもマスク着用を求めていますが、守らない人も目立ち、そうした人が大声で話したり、「私にお金を恵んでください」の口上を車内で突然始めたりすると緊張感が高まります。市の コロナ新規感染者数は、過去７日平均で１日当たり3628人（５日現在）。日本のように「全員マスク」ではない社会で公共の場をどう回していくのか、課題となっています。以下は一日を始めるにあたって押さえておきたい５本のニュース。急低下米消費者の１年後、３年後、５年後の インフレ期待がいずれも急低下したこ
2,https://www.bloomberg.co.jp/news/articles/2022-08-08/RGB2B4T0G1LH01?srnd=cojp-v2,個人投資家が機関投資家や米金融当局に再び挑み始めた。米家庭用品小売りの ベッド・バス・アンド・ビヨンドや映画館チェーン ＡＭＣエンターテインメント・ホールディングスなどのいわゆる「ミーム銘柄」が、昨年の熱狂をほうふつとさせる上昇を見せている。８日の米株市場でベッド・バスは一時、前日比63％上昇。株価は７月下旬から約３倍になった。ＡＭＣ株は同じ期間に70％余り上がった。両銘柄がけん引し、ミーム37銘柄で構成されるバスケットの価格は過去１週間で11％上昇。この間、ゴールドマン・サックス・グループが算出する空売り銘柄の指数は20％近く上げている。市場で投機色の強い分野の復活は、個人投資家がヘッジファ
3,https://www.bloomberg.co.jp/news/articles/2022-08-08/RFVT0AT0AFB401?srnd=cojp-v2,岸田文雄首相は10日にも内閣改造・党役員人事に踏み切る。「新しい資本主義」の具体化や物価高対策に新体制で臨むが、自民党最大派閥の長として首相を支えた安倍晋三元首相の死去で生じた「力の空白」の影響は、今後の政権運営から日本銀行の金融政策に至るまで幅広く及ぶ可能性がある。「誰一人現状では全体を仕切るだけの力もカリスマ性もなく､今後どう『化けて行く』のかが注視されます」。甘利明前幹事長は７月20日付の 国会リポートで、衆目の一致する後継者が不在とされる安倍派の現状を指摘した。安倍派は当面、現体制を維持する方針を確認しているが、内閣改造を機に100人近い勢力の同派内に不協和音が生じれば、岸田首相の政権
4,https://www.bloomberg.co.jp/news/articles/2022-08-08/RGBAFBT1UM0W01?srnd=cojp-v2,米投資・保険会社バークシャー・ハサウェイを率いる著名投資家ウォーレン・バフェット氏の後継人事を巡り、事態が少し興味深くなってきた。６日の決算発表に併せて明らかになった 届け出で、非保険部門を統括するグレッグ・アベル副会長が保有していた公益事業部門バークシャー・ハサウェイ・エナジー（ＢＨＥ）の株式を、同社が６月に８億7000万ドル（約117億円）で買い戻していたことが分かった。この取引は注目に値する。バークシャー本体の株式をほとんど保有していないアベル氏がバフェット氏の後任としてバークシャーの最高経営責任者（ＣＥＯ）に就くという、投資家からの懸念に関わるためだ。４月の年次株主総会では、出席者から
5,https://www.bloomberg.co.jp/news/articles/2022-08-08/RGBFSFT0AFB601?srnd=cojp-v2,ソフトバンクグループは、オンライン経由で学資ローンやオートローンを手掛ける米金融会社ソーファイ・テクノロジーズの９％持ち分の一部ないし全てを売却することを決定した。米証券取引委員会（ＳＥＣ）に８日提出した届け出で明らかにした。届け出によれば、８月５日に１株当たり加重平均価格7.99ドルで約540万株、８日にも平均価格8.17ドルで670万株を売却した。ソフトバンクＧは子会社を通じて、６月末時点でソーファイの株式8320万株を保有。売却する株数とそのタイミングは「多くの要因」に左右されるとしている。８日の米株市場でソーファイの株価は0.3％高の7.98ドルで終了。通常取引終了後の時間外取引では一
6,https://www.bloomberg.co.jp/news/articles/2022-08-08/RGASXPT0AFB401?srnd=cojp-v2,米半導体メーカー、 エヌビディアは８日、５－７月（第２四半期）の売上高が同社の見通しを10億ドル（約1350億円）余り下回ることを明らかにした。投資家にとって予想外の発表で、２年間の好況の後に電子部品の需要が急速に減退していることを示唆している。エヌビディアは５－７月期業績の暫定ベースの数字を発表。それによると売上高は約67億ドルと、従来見通しの81億ドルを下回った。発表を受け、同社株は6.3％安の177.93ドルで終了。約２カ月ぶりの大幅安となり、ナスダック100指数の構成銘柄で値下がり率１位だった。エヌビディアの５－７月期売上高（暫定値）は同社の見通しを大幅に下回った Source: Bl
7,https://www.bloomberg.co.jp/news/articles/2022-08-08/RGB0E6T0G1KZ01?srnd=cojp-v2,"米消費者の１年後、３年後、５年後のインフレ期待がいずれも急低下したことが、ニューヨーク連銀の 最新調査で明らかになった。記録的ペースで上昇している物価が家計の行動に影響しつつあるとの米金融当局の懸念を和らげる可能性がある。調査によると、３年後のインフレ期待は７月に3.2％に低下。６月は3.6％だった。低下は２カ月連続。１年後のインフレ期待は6.2％と、前月の6.8％から低下した。Inflation Expectations Survey shows substantial declines in short-, medium- and longer-term Source: Survey of"
8,https://www.bloomberg.co.jp/news/articles/2022-08-08/RGB7CET0G1KW01?srnd=cojp-v2,５日に発表された７月米雇用統計の衝撃を受けて、ＪＰモルガン・チェースやエバコアＩＳＩ、ＬＨマイヤーは今年予想する米利上げ幅を引き上げた。シティグループは９月の連邦公開市場委員会（ＦＯＭＣ）会合で政策金利が１ポイント引き上げられるリスクに留意している。ＪＰモルガンのマイケル・フェロリ氏とＬＨマイヤーのデレク・タン氏は、９月20ー21日のＦＯＭＣ会合では75ベーシスポイント（ｂｐ、１ｂｐ＝0.01％）の利上げを予想。従来は50ｂｐの利上げを予想していた。エバコアのクリシュナ・グハ氏は今年全体での利上げ幅を0.25ポイント引き上げ、12月には政策金利レンジの上限が3.75％に達するとみている。７月の
9,https://www.bloomberg.co.jp/news/articles/2022-08-08/RGAL6FT1UM0W01?srnd=cojp-v2,米モルガン・スタンレーとゴールドマン・サックス・グループのストラテジストによれば、ここ最近の株高にもかかわらず企業の利益見通しは暗い。モルガン・スタンレーのマイケル・ウィルソン氏、ゴールドマンのデービッド・コスティン氏はそれぞれ別のリポートで、コスト上昇の圧力が強く、企業の利益率は来年縮小すると見込む。米国株に対して弱気なウィルソン氏は「今回の上昇局面で最高の場面は終わった」と指摘した。４－６月（第２四半期）の決算内容が予想ほどは悪くなかったため、インフレ圧力にもかかわらず企業は営業利益を確保できるとの見方から、米国株は７月に大幅上昇した。低調な経済指標を受け、米金融政策に関してハト派的な見方
